STN1,STN2,Weight,Bins,Frequency,Intervals
MGS,KEI,18,,,
BDTS,ADH,18,,,
LWR,DWR,18,,,
CPK,JID,18,,,
BLGR,TIG,18,,,
KUDA,UD,18,,,
DGA,SEE,18,,,
BWN,GKH,18,,,
UJA,MSH,18,,,
MNGD,AMB,18,,,
VSU,BQA,18,,,
AKT,BSP,18,,,
BST,BV,18,,,
MMR,CSN,18,,,
KOU,RU,18,,,
RE,KRH,18,,,
GNT,BZA,18,,,
SEGM,CD,18,,,
NJP,AUB,18,,,
NJP,DQG,18,,,
AK,WHM,18,,,
AN,JL,18,,,
GLPT,KYQ,18,,,
NHH,MFKA,18,,,
ROK,JIND,18,,,
BDL,ALD,18,,,
DLK,BOE,18,,,
DLN,ZNA,18,,,
SSB,DKZ,18,,,
JMU,JAJ,18,,,
BPRD,RNY,18,,,
GYN,ALY,18,,,
MRGA,NLDA,18,,,
SIP,BUI,18,,,
MYS,MYA,18,,,
ABR,SOH,18,,,
BAND,YPR,18,,,
JAA,MURI,18,,,
BTE,BXN,18,,,
VRI,TPJ,18,,,
AJJ,TRL,18,,,
KNE,MLDT,18,,,
JU,MTD,18,,,
CUPJ,CDM,18,,,
ALD,ALY,18,,,
SPN,ROZA,17,,,
SPE,NYP,17,,,
DPJ,SA,17,,,
PNP,NDLS,17,,,
TDL,HRS,17,,,
BAU,NPNR,17,,,
KIUL,AHA,17,,,
KIUL,JMU,17,,,
NK,BSL,17,,,
NN,MKU,17,,,
GZB,KRJ,17,,,
BKP,PNBE,17,,,
GDR,NYP,17,,,
KGP,JER,17,,,
KGG,NNA,17,,,
AMLA,MTY,17,,,
MLPR,ABP,17,,,
DGR,RNG,17,,,
SLN,MFKA,17,,,
KIR,KNE,17,,,
FD,RDL,17,,,
MAS,KPD,17,,,
KWAE,NDAE,17,,,
SBP,JSG,17,,,
RE,AWR,17,,,
RE,PTRD,17,,,
DEE,DLI,17,,,
BURN,ASN,17,,,
MKA,BJU,17,,,
J,PTU,17,,,
PGW,JUC,17,,,
OGL,SKM,17,,,
AB,KPD,17,,,
DUI,SAG,17,,,
IDG,SWM,17,,,
VBL,PVP,17,,,
SSM,KTQ,17,,,
BBK,BNZ,17,,,
BBU,KTQ,17,,,
PTU,SELU,17,,,
LJN,CNB,17,,,
DDR,BVI,17,,,
SMBJ,GGC,17,,,
NPNR,KNW,17,,,
NZB,BSX,17,,,
TPJ,SRGM,17,,,
JNH,BOY,16,,,
BEA,ARA,16,,,
NOK,BKN,16,,,
DPJ,HSRA,16,,,
LS,MMR,16,,,
DMM,SSPN,16,,,
DMO,KTE,16,,,
BCH,SJP,16,,,
SRE,DBD,16,,,
PDKT,TPJ,16,,,
KZJ,ZN,16,,,
VAK,PVU,16,,,
MV,KMU,16,,,
SVJR,PUNE,16,,,
KIUL,KJH,16,,,
ATP,GTL,16,,,
GAYA,MGS,16,,,
LKO,BCN,16,,,
NLR,BZA,16,,,
MGS,DLN,16,,,
RMD,PMK,16,,,
DEC,DLI,16,,,
GDG,KBL,16,,,
AMLA,PAR,16,,,
RGDA,SPRD,16,,,
NMH,MDS,16,,,
RPRD,KSNG,16,,,
PAY,CAN,16,,,
ETW,BNT,16,,,
BSR,ST,16,,,
BSB,MUV,16,,,
MML,SRID,16,,,
ERS,ERN,16,,,
QLN,KPY,16,,,
RN,CHI,16,,,
GHR,JAJ,16,,,
GHY,JID,16,,,
GNT,SAP,16,,,
MKN,KMNC,16,,,
MKU,AK,16,,,
AII,NSD,16,,,
MABD,KDM,16,,,
BJNR,BHL,16,,,
ST,BVI,16,,,
CAP,BALU,16,,,
DBRG,NTSK,16,,,
TDPR,VM,16,,,
BMKI,SGL,16,,,
JSG,BRJN,16,,,
PMK,MNM,16,,,
BINA,BHS,16,,,
DD,SUR,16,,,
VN,JTJ,16,,,
WL,BPQ,16,,,
HAN,BXN,16,,,
SIR,KNN,16,,,
PNVL,TNA,16,,,
JIND,NRW,16,,,
BHP,GKH,16,,,
BVH,FDB,16,,,
TVP,TVC,16,,,
SRGM,ALU,16,,,
DPR,NGG,15,,,
LD,CLR,15,,,
MRA,AGC,15,,,
KMME,DHN,15,,,
WKR,THAN,15,,,
SRR,CLT,15,,,
DRU,ASK,15,,,
DRU,RRB,15,,,
JHL,TUN,15,,,
PWL,KSV,15,,,
LKO,GD,15,,,
LKO,HRI,15,,,
NGG,NBD,15,,,
NGN,CSN,15,,,
NGN,MMR,15,,,
NGP,AJNI,15,,,
SHG,MLPR,15,,,
GZB,HPU,15,,,
MZP,ALD,15,,,
VKI,KHT,15,,,
CPR,HJP,15,,,
CPU,RNQ,15,,,
BIM,BL,15,,,
SLO,PAP,15,,,
BWN,PAN,15,,,
MAD,MYA,15,,,
SNP,SZM,15,,,
MAO,VSG,15,,,
KKN,HD,15,,,
TUN,NRW,15,,,
PAR,BZU,15,,,
KATL,NRKR,15,,,
GBD,HUP,15,,,
THAN,SUNR,15,,,
BRWD,LTHR,15,,,
MMR,NSL,15,,,
KOJ,FKM,15,,,
QLM,CLR,15,,,
RGL,JSG,15,,,
MKP,DBR,15,,,
KQR,HZD,15,,,
DYD,RDL,15,,,
GAR,PPI,15,,,
KSV,MTJ,15,,,
NJP,SGUJ,15,,,
NHT,RPH,15,,,
DUI,BNN,15,,,
PPI,SGP,15,,,
AWR,JP,15,,,
TEL,BPP,15,,,
RTM,DHD,15,,,
DHN,GMO,15,,,
YNK,YPR,15,,,
NDD,KVR,15,,,
MUT,MTC,15,,,
GCT,ARJ,15,,,
HPP,MRPR,15,,,
PBN,MVO,15,,,
TPJ,KRR,15,,,
MVO,SELU,15,,,
JNU,ZBD,14,,,
NOK,DSO,14,,,
LMG,LKA,14,,,
DPA,SWM,14,,,
APT,DWP,14,,,
APT,SLO,14,,,
PDY,VM,14,,,
PSA,NWP,14,,,
NRLR,RPRD,14,,,
BCH,MKC,14,,,
HNL,PAU,14,,,
SRE,MB,14,,,
TDO,JRC,14,,,
RJY,DWP,14,,,
RJN,G,14,,,
KZJ,RDM,14,,,
VAK,KVU,14,,,
DOL,MFP,14,,,
DOL,KRBP,14,,,
DOS,SEB,14,,,
BHTR,BTT,14,,,
JJK,RURA,14,,,
JJK,PHD,14,,,
NCJ,VLY,14,,,
GAYA,AUBR,14,,,
NAD,KOTA,14,,,
SVM,QLM,14,,,
SVM,MAO,14,,,
SVA,CMU,14,,,
SVA,SGZ,14,,,
LKA,HJI,14,,,
NW,YG,14,,,
AZR,BOE,14,,,
MKC,DWX,14,,,
NDKD,PGRL,14,,,
NGP,BZU,14,,,
GZB,DSA,14,,,
MGS,CAR,14,,,
RMGM,CPT,14,,,
CKTD,MKP,14,,,
BKN,DSO,14,,,
SJP,UJN,14,,,
CPP,VZM,14,,,
CPT,MAD,14,,,
THVM,MAO,14,,,
SLN,BSB,14,,,
CRR,KUE,14,,,
CRY,KVU,14,,,
SPRD,THV,14,,,
BWM,SGZ,14,,,
BWM,RMA,14,,,
SNP,GNU,14,,,
LSR,AWB,14,,,
LSR,RGO,14,,,
CKU,GTS,14,,,
UJA,SID,14,,,
KMU,TJ,14,,,
JMT,VDS,14,,,
AKP,TUNI,14,,,
BSP,JSG,14,,,
ERS,SRTL,14,,,
WADI,YG,14,,,
WADI,RC,14,,,
QLN,PVU,14,,,
NRPD,YG,14,,,
RU,PUT,14,,,
RC,KSN,14,,,
COR,MVJ,14,,,
NSD,BJNR,14,,,
SDL,BRS,14,,,
SZM,NDLS,14,,,
JWB,FA,14,,,
PGRL,SAP,14,,,
ST,UDN,14,,,
SA,TPT,14,,,
SA,KPD,14,,,
CAN,KPQ,14,,,
DYD,BBK,14,,,
BNDA,MBA,14,,,
TMR,G,14,,,
ASKN,MNV,14,,,
TU,KDP,14,,,
TU,GY,14,,,
AF,IDH,14,,,
HIJ,BLS,14,,,
PGI,TIR,14,,,
PRR,TATA,14,,,
WJR,KPD,14,,,
TEL,CLX,14,,,
DNR,BTA,14,,,
CHKB,JAT,14,,,
DSS,BJU,14,,,
YFP,GCT,14,,,
BRGA,BRPL,14,,,
BNZ,LJN,14,,,
SVGA,MNM,14,,,
RPH,MLDT,14,,,
NDB,JL,14,,,
BJU,JAJ,14,,,
NDLS,MTJ,14,,,
FZR,FDK,14,,,
GD,CLJ,14,,,
BTA,ARA,14,,,
BTH,SGL,14,,,
KJM,YPR,14,,,
AJJ,TRT,14,,,
SGO,PHA,14,,,
JNU,BSB,13,,,
BER,MJ,13,,,
PNU,SID,13,,,
KMME,BRR,13,,,
DNKL,CTC,13,,,
BCT,DDR,13,,,
BPF,ET,13,,,
SRU,BTT,13,,,
KZE,NLE,13,,,
MB,LRJ,13,,,
MB,CH,13,,,
STA,JTW,13,,,
RHG,AWR,13,,,
PWL,BVH,13,,,
LKO,SAN,13,,,
LKO,AMG,13,,,
LKE,IDG,13,,,
DKO,KKDI,13,,,
BMB,JSG,13,,,
BMB,GP,13,,,
SHG,KRND,13,,,
GZB,ANVT,13,,,
GZB,ALJN,13,,,
TBN,HD,13,,,
