BMVR,MHUA,1
PDZ,COO,7.9
PDZ,KNDP,6.12
PDY,VI,7.67
SDVL,GHL,9.95
SDVL,BAW,2.61
CLD,NKB,13.09
CLD,NMZ,7.73
BET,RKDI,5.41
BET,CLHT,4.59
PDV,AZP,4.28
PDV,PML,3.13
PDU,SGDM,10.07
PDU,DUSI,8.83
SKGH,VWP,9.58
SKGH,LUSA,20.69
CLG,EKC,4.52
CLG,BKSL,11.34
VCN,JKA,7.21
VCN,CE,6.36
CLA,GC,4
CLA,TKNG,1.02
CLA,DR,6
CLA,SIN,2.68
CLA,VVH,2.41
SBLJ,ALAI,11.52
SBLJ,CLO,3.5
MMKB,PHK,2.62
MMKB,KNHP,2.37
CLC,AEP,21.69
CLC,JHAR,8.44
WKI,MGK,7.49
WKI,MUC,8.27
WKA,AAG,6.27
WKA,MA,7.2
MKHI,METR,7.37
MKHI,PTYR,3.4
AIRL,RABE,2.49
AIRL,TNA,5.77
MKHR,MBT,15.53
MKHR,RDRA,20.71
PDL,EDD,8.41
PDL,PGDI,14.31
WKR,DV,10.96
WKR,LXR,4.88
WKR,WKRC,1.94
KLYH,KJS,7.26
KLYH,STE,3.41
PDG,PTU,7.74
PDG,RNE,6.37
CLU,PAV,5.97
CLU,MTM,4.43
PDD,NAND,12.79
PDD,INJ,9.88
BRDH,GNW,7.43
BRDH,KUX,0.52
KDTR,RIG,6.95
PNYA,VKNR,13.1
PNYA,KZA,6.78
BRDA,GRJA,2.99
BRDA,DWK,7.44
BRDB,MSDL,8.57
BRDB,BYSA,5.89
MTUR,ICG,6.11
MTUR,SNDI,8.21
PDA,SLG,4.88
PDA,KHN,5.34
BRDT,GUB,6.93
BRDT,BPZ,9.16
BRDV,METR,5.08
BRDV,SFPR,3.95
KDTN,PAA,4.89
KDTN,KDG,4.88
KRPU,KRPC,1.54
KRPU,SUKU,11
KRPU,KRPB,1.6
KRPU,MVF,7
KRPR,JOA,8.69
KRPP,KDTY,3.15
KRPP,ETM,7.86
JWLS,HRDR,12
JWLS,BRMR,9
TDLE,NFKS,4.35
TDLE,BDBS,5.11
VDKS,SRR,4.26
VDKS,VPZ,5.02
KRPB,DMRT,9.18
UMBY,UMB,2.73
UMBY,UBC,7.55
NFKN,NFK,0.55
NFKN,CMX,5.25
PLCJ,MBT,10.37
PLCJ,STSN,13.87
PLCJ,MAAR,12.79
TKLN,SEX,4
TKLN,IKD,10
ALMW,GYN,5.19
ALMW,AHM,3.66
ALMR,NGA,7.67
ALMR,UJ,6.7
NFKS,NFK,0.52
NFKS,BQZ,5.43
BLQR,RUPC,18.08
BLQR,KEMR,8.35
TKLB,PTS,3
TKLB,MGVK,3
DMA,BURN,3.96
DMA,MDKD,4.75
DMD,ETK,3.76
DMD,TLY,4.54
DME,PCT,10.17
DME,DAS,11.48
DMF,LTK,10
DMF,BNDM,7
DMG,GKP,4.1
DMG,JTB,7.16
DMH,MEE,5.79
DMH,BDMA,8.08
DMK,SZY,11
DMK,BDXX,12
DML,SNBR,5.62
DML,TGE,7.26
DMM,NGM,14.58
DMM,CCI,14.55
DMM,BSPL,14.74
DMM,CCA,11.42
DMN,DIP,10.27
DMN,TLN,10.24
DMO,KYX,8.16
